round_number,draw_date,n3_winning,n4_winning,n3_rehearsal,n4_rehearsal
5947,2024-06-12,283,4086,609,3647
5948,2024-06-13,408,9533,207,7730
5949,2024-06-14,713,2804,258,9468
5950,2024-06-15,264,3661,668,9742
5951,2024-06-16,612,6348,640,9162
5952,2023-05-24,981,2304,791,3544
5953,2024-06-18,150,1960,752,2624
5954,2024-06-19,007,9015,216,9348
5955,2024-06-20,603,3272,563,4882
5956,2024-06-21,941,2334,238,9458
5957,2024-06-22,319,6801,314,0796
5958,2024-06-23,123,7574,942,6709
5959,2024-06-24,940,6575,519,7564
5960,2023-06-01,544,5128,314,8027
5961,2024-06-26,431,5393,523,0871
5962,2024-06-27,250,1590,210,1608
5963,2024-06-28,790,4058,415,0569
5964,2024-06-29,030,6357,293,3448
5965,2024-06-30,044,1312,425,0344
5966,2024-07-01,677,9919,241,8519
5967,2024-07-02,739,3197,840,5998
5968,2024-07-03,936,1198,301,1818
5969,2024-07-04,640,4185,260,1292
5970,2024-07-05,415,7363,882,4889
5971,2024-07-06,274,5808,954,3477
5972,2024-07-07,272,9366,284,0571
5973,2024-07-08,753,6840,036,1357
5974,2024-07-09,492,7968,494,9986
5975,2024-07-10,597,5302,764,0809
5976,2024-07-11,087,6092,100,5448
5977,2024-07-12,112,1099,872,8031
5978,2024-07-13,445,3256,374,9661
5979,2024-07-14,377,7523,850,2683
5980,2024-07-15,844,2057,149,7896
5981,2024-07-16,959,0433,233,1539
5982,2024-07-17,953,7335,690,7994
5983,2024-07-18,098,9210,248,7524
5984,2024-07-19,483,2350,560,5553
5985,2024-07-20,134,4841,393,1418
5986,2024-07-21,089,9771,753,5233
5987,2024-07-22,671,1921,215,8983
5988,2024-07-23,640,0440,281,1839
5989,2024-07-24,771,7677,191,5821
5990,2024-07-25,628,8336,383,7403
5991,2024-07-26,641,8209,162,8224
5992,2024-07-27,606,6903,525,9362
5993,2024-07-28,043,3726,916,0755
5994,2024-07-29,689,0679,118,3363
5995,2024-07-30,949,0791,908,8123
5996,2024-07-31,359,1656,907,1814
5997,2024-08-01,994,8136,199,9380
5998,2024-08-02,459,7140,873,4172
5999,2024-08-03,941,3078,299,4130
6000,2024-08-04,217,6990,829,0947
6001,2024-08-05,414,4306,495,6333
6002,2024-08-06,370,1540,661,1463
6003,2024-08-07,208,9062,971,9217
6004,2024-08-08,047,8645,386,4706
6005,2024-08-09,691,4398,502,7988
6006,2024-08-10,705,5125,312,0930
6007,2024-08-11,827,6787,183,1526
6008,2024-08-12,890,6791,735,7544
6009,2024-08-13,818,7453,224,6075
6010,2024-08-14,475,2057,241,8110
6011,2024-08-15,509,6771,621,9845
6012,2024-08-16,546,8394,801,7028
6013,2024-08-17,498,1932,370,0016
6014,2024-08-18,257,2490,776,1567
6015,2024-08-19,802,9779,443,9413
6016,2024-08-20,731,9750,444,0262
6017,2024-08-21,033,6554,735,1779
6018,2024-08-22,624,6802,437,7294
6019,2024-08-23,287,7148,236,7432
6020,2024-08-24,302,1278,612,7233
6021,2024-08-25,462,4238,001,0422
6022,2024-08-26,849,0591,210,1144
6023,2024-08-27,048,6743,250,1924
6024,2024-08-28,877,2673,440,0611
6025,2024-08-29,252,5460,855,4258
6026,2024-08-30,514,8841,378,7807
6027,2024-08-31,988,4284,254,7195
6028,2024-09-01,879,4674,804,4254
6029,2024-09-02,685,6933,665,8632
6030,2024-09-03,353,4074,671,1456
6031,2024-09-04,347,8530,509,5119
6032,2024-09-05,591,7105,721,1015
6033,2024-09-06,114,4798,870,0925
6034,2024-09-07,892,0306,172,6871
6035,2024-09-08,020,3703,809,5984
6036,2024-09-09,566,8149,467,4375
6037,2024-09-10,411,6679,065,4278
6038,2024-09-11,170,8222,013,3199
6039,2024-09-12,318,1777,358,4773
6040,2024-09-13,988,2808,396,4438
6041,2024-09-14,979,5200,797,8108
6042,2024-09-15,445,7306,502,4652
6043,2024-09-16,232,8103,679,7375
6044,2024-09-17,281,6872,803,0589
6045,2024-09-18,595,8399,821,3719
6046,2024-09-19,278,0758,366,7904
6047,2024-09-20,222,2299,450,2119
6048,2024-09-21,443,6959,247,7163
6049,2024-09-22,727,6473,946,7558
6050,2024-09-23,274,9861,636,4126
6051,2024-09-24,125,2017,183,1344
6052,2024-09-25,394,2608,610,1529
6053,2024-09-26,009,0980,302,7474
6054,2024-09-27,146,9843,226,0988
6055,2024-09-28,432,8540,200,6446
6056,2024-09-29,031,1020,697,2065
6057,2024-09-30,139,0918,071,7562
6058,2024-10-01,601,1313,279,5799
6059,2024-10-02,630,7601,103,8647
6060,2024-10-03,280,0434,219,1228
6061,2024-10-04,595,2754,338,7592
6062,2024-10-05,763,3745,069,4335
6063,2024-10-06,809,5845,941,9227
6064,2024-10-07,002,5513,300,9314
6065,2024-10-08,804,2675,789,8668
6066,2024-10-09,570,3540,130,1663
6067,2024-10-10,030,6058,158,9341
6068,2024-10-11,046,8712,501,5967
6069,2024-10-12,605,1082,348,1656
6070,2024-10-13,850,6152,346,8089
6071,2024-10-14,849,9937,733,2751
6072,2024-10-15,986,6102,927,3796
6073,2024-10-16,281,3563,440,8789
6074,2024-10-17,746,2016,646,0554
6075,2024-10-18,065,2566,231,1704
6076,2024-10-19,763,0776,912,6299
6077,2024-10-20,089,4992,526,5626
6078,2024-10-21,800,9055,705,5148
6079,2024-10-22,054,3018,371,0664
6080,2024-10-23,394,3790,062,4977
6081,2024-10-24,754,7535,358,5570
6082,2024-10-25,659,4940,354,3174
6083,2024-10-26,641,2782,290,2165
6084,2024-10-27,824,9285,520,9666
6085,2024-10-28,930,0556,027,8225
6086,2024-10-29,947,4549,652,3791
6087,2024-10-30,590,4431,032,1461
6088,2024-10-31,348,4967,659,2856
6089,2024-11-01,533,3862,049,2791
6090,2024-11-02,438,6349,371,8277
6091,2024-11-03,424,2818,404,3923
6092,2024-11-04,754,8297,027,1285
6093,2024-11-05,386,3207,118,6826
6094,2024-11-06,589,0017,433,9666
6095,2024-11-07,978,0473,975,3412
6096,2024-11-08,447,5756,386,8713
6097,2024-11-09,468,8455,507,2838
6098,2024-11-10,658,5542,545,2460
6099,2024-11-11,745,5763,628,5228
6100,2024-11-12,671,7353,685,6638
6101,2024-11-13,742,5486,334,8471
6102,2024-11-14,636,5641,884,2994
6103,2024-11-15,638,1500,706,0221
6104,2024-11-16,799,5369,860,5993
6105,2024-11-17,613,3692,563,9224
6106,2024-11-18,559,9428,293,8158
6107,2024-11-19,460,9184,351,2722
6108,2024-11-20,229,9853,755,4621
6109,2024-11-21,947,3522,105,7356
6110,2024-11-22,035,7879,055,0559
6111,2024-11-23,329,6694,669,7908
6112,2024-11-24,857,3898,092,9751
6113,2024-11-25,929,2131,861,1563
6114,2024-11-26,958,5953,146,9138
6115,2024-11-27,194,0335,459,2513
6116,2024-11-28,953,2572,558,1033
6117,2024-11-29,091,5409,586,0673
6118,2024-11-30,433,3592,349,9465
6119,2024-12-01,185,2652,927,6935
6120,2024-12-02,661,0395,864,7077
6121,2024-12-03,203,4608,046,4059
6122,2024-12-04,895,1751,182,9252
6123,2024-12-05,055,9702,810,0026
6124,2024-12-06,118,6233,076,7962
6125,2024-12-07,169,5925,249,8687
6126,2024-12-08,625,0525,861,2024
6127,2024-12-09,963,4462,905,6290
6128,2024-12-10,611,3013,942,4452
6129,2024-12-11,630,2203,790,3174
6130,2024-12-12,606,1349,301,4700
6131,2024-12-13,167,8428,654,6763
6132,2024-12-14,252,5224,591,2530
6133,2024-12-15,637,7248,962,5285
6134,2024-12-16,310,5238,658,8812
6135,2024-12-17,108,9034,913,8770
6136,2024-12-18,482,0457,493,5254
6137,2024-12-19,226,1781,291,4025
6138,2024-12-20,596,1766,028,1495
6139,2024-12-21,566,0534,303,1341
6140,2024-12-22,514,4509,040,4390
6141,2024-12-23,168,2697,860,4874
6142,2024-12-24,716,0990,891,8312
6143,2024-12-25,310,4810,963,6442
6144,2024-12-26,470,9414,528,9472
6145,2024-12-27,309,2577,340,7444
6146,2024-12-28,727,1137,741,3017
6147,2024-12-29,268,3489,889,9433
6148,2024-12-30,657,9168,908,9787
6149,2024-12-31,986,8414,529,4041
6150,2025-01-01,800,9127,366,7401
6151,2025-01-02,520,0018,418,8383
6152,2025-01-03,460,7517,782,5726
6153,2025-01-04,909,1156,383,9010
6154,2025-01-05,432,3307,184,2128
6155,2025-01-06,424,3107,395,0655
6156,2025-01-07,715,7188,241,4432
6157,2025-01-08,989,4985,179,9183
6158,2025-01-09,474,8568,902,8634
6159,2025-01-10,609,2006,156,6526
6160,2025-01-11,145,9748,818,8972
6161,2025-01-12,276,8386,290,6777
6162,2025-01-13,175,3482,304,7399
6163,2025-01-14,092,2140,284,4440
6164,2025-01-15,429,8682,517,7691
6165,2025-01-16,674,3588,090,3168
6166,2025-01-17,144,7497,783,6007
6167,2025-01-18,134,7052,846,2208
6168,2025-01-19,232,6366,598,9927
6169,2025-01-20,161,2046,311,4942
6170,2025-01-21,675,8344,802,9051
6171,2025-01-22,337,4163,385,3623
6172,2023-12-30,928,0932,384,3355
6173,2025-01-24,325,4439,599,1862
6174,2025-01-25,484,4243,741,0874
6175,2025-01-26,321,1614,401,1067
6176,2025-01-27,137,9526,923,8703
6177,2025-01-28,320,2389,252,0291
6178,2025-01-29,839,3025,315,7536
6179,2025-01-30,694,9631,979,0261
6180,2025-01-31,009,7815,265,7178
6181,2025-02-01,911,8705,226,2538
6182,2025-02-02,644,7211,866,1399
6183,2025-02-03,258,0317,852,2115
6184,2025-02-04,278,1962,945,9143
6185,2025-02-05,847,4855,827,6752
6186,2025-02-06,600,2617,056,7981
6187,2025-02-07,890,6651,157,2042
6188,2025-02-08,101,3959,705,9742
6189,2025-02-09,543,9788,267,9906
6190,2025-02-10,072,8297,309,4818
6191,2025-02-11,188,3466,298,5294
6192,2025-02-12,733,6655,453,6115
6193,2025-02-13,423,0120,850,8085
6194,2025-02-14,962,2371,810,5266
6195,2025-02-15,178,1679,833,1091
6196,2025-02-16,273,6602,501,3351
6197,2025-02-17,799,2613,137,8311
6198,2025-02-18,958,2784,639,7358
6199,2025-02-19,953,6083,499,8823
6200,2025-02-20,237,2806,000,4704
6201,2025-02-21,372,3159,968,6977
6202,2025-02-22,828,5658,074,6565
6203,2025-02-23,019,3084,237,7612
6204,2025-02-24,788,2558,767,3733
6205,2025-02-25,734,2954,133,8253
6206,2025-02-26,675,8977,694,1827
6207,2025-02-27,746,3712,377,7505
6208,2025-02-28,218,0048,422,9643
6209,2025-03-01,140,2494,610,5695
6210,2025-03-02,055,7211,011,4198
6211,2025-03-03,464,5158,801,0384
6212,2025-03-04,620,6987,466,4898
6213,2025-03-05,350,9262,715,7139
6214,2025-03-06,138,8990,544,8444
6215,2025-03-07,292,7143,524,8926
6216,2025-03-08,931,9826,687,9786
6217,2025-03-09,584,4645,019,5269
6218,2025-03-10,908,9918,659,1812
6219,2025-03-11,277,1742,532,7569
6220,2025-03-12,022,0247,279,6837
6221,2025-03-13,041,7906,094,1338
6222,2025-03-14,047,1246,750,2221
6223,2025-03-15,608,7494,294,7617
6224,2025-03-16,322,1880,233,0549
6225,2025-03-17,753,8034,037,5796
6226,2025-03-18,076,1308,393,3373
6227,2025-03-19,995,6843,647,1207
6228,2025-03-20,232,0503,666,1394
6229,2025-03-21,583,2776,558,0606
6230,2025-03-22,088,1360,079,7514
6231,2025-03-23,370,7421,511,2168
6232,2025-03-24,809,9894,650,5504
6233,2025-03-25,469,6776,857,4341
6234,2025-03-26,377,2362,486,9476
6235,2025-03-27,893,0299,423,2378
6236,2025-03-28,499,8127,557,3724
6237,2025-03-29,941,1170,547,2185
6238,2025-03-30,357,4952,950,0413
6239,2025-03-31,781,7452,724,1729
6240,2025-04-01,600,4586,838,8198
6241,2025-04-02,305,5103,987,9335
6242,2025-04-03,342,1899,490,6866
6243,2025-04-04,795,9098,220,9410
6244,2025-04-05,455,2774,804,9324
6245,2025-04-06,430,8164,758,2447
6246,2025-04-07,921,3899,040,1175
6247,2025-04-08,574,8446,692,5411
6248,2025-04-09,893,8092,108,7942
6249,2025-04-10,637,2903,362,4830
6250,2025-04-11,888,2799,230,9006
6251,2025-04-12,688,8766,621,0359
6252,2025-04-13,339,0179,951,8588
6253,2025-04-14,112,4647,801,0815
6254,2025-04-15,642,2175,611,5447
6255,2025-04-16,974,9760,961,8040
6256,2025-04-17,097,5241,990,1009
6257,2025-04-18,857,3416,751,6709
6258,2025-04-19,430,2247,974,2720
6259,2025-04-20,831,9334,132,7929
6260,2025-04-21,785,1121,118,3415
6261,2025-04-22,023,9793,348,6970
6262,2025-04-23,199,5867,357,1049
6263,2025-04-24,243,2882,430,6037
6264,2025-04-25,558,8071,569,4631
6265,2025-04-26,353,8549,235,3290
6266,2025-04-27,684,7169,500,6390
6267,2025-04-28,507,5883,731,8360
6268,2025-04-29,427,3805,685,8535
6269,2025-04-30,485,0369,396,3851
6270,2025-05-01,555,5294,563,6675
6271,2025-05-02,422,9566,402,9088
6272,2025-05-03,840,5069,532,6877
6273,2025-05-04,692,3793,889,9224
6274,2025-05-05,485,1226,870,4717
6275,2025-05-06,622,5897,255,7523
6276,2025-05-07,747,5677,748,6584
6277,2025-05-08,748,5054,387,7947
6278,2025-05-09,068,1697,602,3342
6279,2025-05-10,035,7425,384,4048
6280,2025-05-11,846,5517,927,3737
6281,2025-05-12,935,4537,778,4988
6282,2025-05-13,326,3295,537,8469
6283,2025-05-14,758,7780,080,3826
6284,2025-05-15,901,2632,773,0763
6285,2025-05-16,075,0855,779,1665
6286,2025-05-17,672,1308,101,5181
6287,2025-05-18,216,8393,197,3539
6288,2025-05-19,052,4044,649,4487
6289,2025-05-20,781,5286,961,8806
6290,2025-05-21,940,1434,802,5637
6291,2025-05-22,007,1115,404,6916
6292,2025-05-23,117,2988,047,8042
6293,2025-05-24,164,9398,195,1409
6294,2025-05-25,928,7010,443,6933
6295,2025-05-26,286,1134,781,3734
6296,2025-05-27,917,1108,841,5297
6297,2024-05-03,751,6372,857,1359
6298,2025-05-29,580,0402,976,4093
6299,2025-05-30,579,7219,767,5503
6300,2025-05-31,577,8587,826,8038
6301,2025-06-01,484,3914,892,9432
6302,2025-06-02,669,0003,362,4650
6303,2025-06-03,876,3400,993,9242
6304,2025-06-04,017,7384,535,2489
6305,2025-06-05,951,5563,302,7314
6306,2025-06-06,251,2668,630,0703
6307,2025-06-07,305,5367,560,9009
6308,2025-06-08,184,5662,482,8565
6309,2025-06-09,103,8286,924,6253
6310,2025-06-10,951,6183,243,3258
6311,2025-06-11,220,5384,652,4079
6312,2025-06-12,484,2959,109,8476
6313,2025-06-13,068,8461,356,2675
6314,2025-06-14,235,8305,679,3741
6315,2025-06-15,209,6283,738,2272
6316,2025-06-16,414,5048,388,0071
6317,2025-06-17,590,6301,324,1306
6318,2025-06-18,550,2277,422,4204
6319,2025-06-19,549,5997,613,7451
6320,2025-06-20,149,9304,141,8172
6321,2025-06-21,844,7379,605,4926
6322,2025-06-22,373,1598,700,2534
6323,2025-06-23,985,2762,529,5433
6324,2025-06-24,712,3302,505,9679
6325,2024-05-31,110,8282,084,2199
6326,2025-06-26,509,3461,775,6634
6327,2025-06-27,880,7059,400,5010
6328,2025-06-28,878,1954,582,6566
6329,2025-06-29,374,1763,813,4558
6330,2025-06-30,400,1487,452,5453
6331,2025-07-01,645,0945,787,3335
6332,2025-07-02,208,0469,753,5691
6333,2025-07-03,840,3388,877,5454
6334,2025-07-04,006,5764,759,4109
6335,2025-07-05,282,3933,535,4502
6336,2025-07-06,595,3861,024,1446
6337,2025-07-07,114,1559,644,6165
6338,2025-07-08,866,0231,534,4462
6339,2025-07-09,060,7197,499,4911
6340,2025-07-10,566,6154,920,4524
6341,2025-07-11,208,7277,078,5513
6342,2025-07-12,802,6562,804,2576
6343,2025-07-13,105,3989,116,1024
6344,2025-07-14,158,2111,395,1529
6345,2025-07-15,502,8867,760,1052
6346,2025-07-16,109,2930,233,9564
6347,2025-07-17,584,6977,351,4715
6348,2025-07-18,443,1239,601,9634
6349,2025-07-19,470,9198,135,6679
6350,2025-07-20,770,0271,389,9266
6351,2025-07-21,041,4077,073,9481
6352,2025-07-22,949,2317,712,2799
6353,2025-07-23,060,1184,794,5441
6354,2025-07-24,082,5892,363,2541
6355,2025-07-25,511,7648,639,7960
6356,2025-07-26,557,1304,261,6537
6357,2025-07-27,204,5235,554,8428
6358,2025-07-28,384,6529,257,9119
6359,2025-07-29,183,5751,536,3245
6360,2025-07-30,558,3872,638,4485
6361,2025-07-31,544,0959,021,7349
6362,2025-08-01,104,2487,857,3393
6363,2025-08-02,169,1228,487,3025
6364,2025-08-03,230,8284,605,8784
6365,2025-08-04,532,9116,763,7892
6366,2025-08-05,118,8696,915,7823
6367,2025-08-06,153,6147,053,2285
6368,2025-08-07,304,2870,908,7508
6369,2025-08-08,850,2986,464,0191
6370,2025-08-09,049,9134,629,3777
6371,2025-08-10,906,2473,109,5791
6372,2025-08-11,451,0942,427,2237
6373,2025-08-12,090,8104,387,7802
6374,2025-08-13,429,0377,925,4478
6375,2025-08-14,013,7405,738,0348
6376,2025-08-15,491,5170,295,4137
6377,2025-08-16,565,4587,647,3543
6378,2025-08-17,389,1610,602,7411
6379,2025-08-18,460,7124,788,0475
6380,2025-08-19,341,9214,292,5243
6381,2025-08-20,919,0944,002,2936
6382,2025-08-21,833,0080,575,2633
6383,2025-08-22,780,8895,919,1769
6384,2025-08-23,320,2293,583,2048
6385,2025-08-24,604,2864,312,8188
6386,2025-08-25,091,8095,293,0640
6387,2025-08-26,385,2651,592,2901
6388,2025-08-27,715,8913,801,3368
6389,2025-08-28,725,2199,655,8455
6390,2025-08-29,796,3648,732,9237
6391,2025-08-30,101,4108,196,9839
6392,2025-08-31,419,9353,563,5201
6393,2025-09-01,802,2137,489,4828
6394,2025-09-02,723,6806,910,1260
6395,2025-09-03,310,9358,292,4323
6396,2025-09-04,546,4692,964,3163
6397,2025-09-05,458,6724,312,7833
6398,2025-09-06,945,3003,839,1806
6399,2025-09-07,791,9372,869,8768
6400,2025-09-08,948,0006,745,1267
6401,2025-09-09,706,5389,137,3589
6402,2025-09-10,916,0045,793,6439
6403,2025-09-11,055,0710,195,3267
6404,2025-09-12,692,7229,924,5028
6405,2025-09-13,963,7029,094,1334
6406,2025-09-14,394,4208,971,3456
6407,2025-09-15,920,7390,274,6232
6408,2025-09-16,541,0042,532,6760
6409,2025-09-17,105,2361,874,5492
6410,2025-09-18,633,7519,043,9385
6411,2025-09-19,834,5651,889,1115
6412,2025-09-20,834,6864,542,4495
6413,2025-09-21,358,5868,082,0671
6414,2025-09-22,983,0825,712,5822
6415,2025-09-23,414,9550,455,1739
6416,2025-09-24,367,3560,915,3449
6417,2025-09-25,017,4511,726,4698
6418,2025-09-26,566,9892,452,8087
6419,2025-09-27,395,9482,184,5829
6420,2025-09-28,956,6822,674,5899
6421,2025-09-29,810,8763,607,5970
6422,2025-09-30,366,7468,797,6158
6423,2025-10-01,494,5786,597,4853
6424,2025-10-02,388,0017,744,5322
6425,2025-10-03,833,6599,333,1469
6426,2025-10-04,957,3988,943,7016
6427,2025-10-05,378,5004,125,3705
6428,2025-10-06,991,5961,047,4601
6429,2025-10-07,978,6496,031,0304
6430,2025-10-08,495,3237,513,5414
6431,2025-10-09,059,5485,195,8364
6432,2025-10-10,391,0224,982,9276
6433,2025-10-11,504,2814,479,2868
6434,2025-10-12,346,4360,430,7445
6435,2025-10-13,578,3918,661,1519
6436,2025-10-14,150,8399,581,9168
6437,2025-10-15,603,3489,311,2772
6438,2025-10-16,440,4591,077,1999
6439,2025-10-17,992,8640,393,1865
6440,2025-10-18,965,6280,431,2735
6441,2025-10-19,639,3364,879,2612
6442,2025-10-20,881,2743,399,1365
6443,2025-10-21,018,1002,025,3801
6444,2025-10-22,668,4170,699,2474
6445,2025-10-23,627,2518,650,4669
6446,2025-10-24,490,8158,723,2197
6447,2025-10-25,089,0597,904,5029
6448,2025-10-26,081,5845,978,7788
6449,2025-10-27,180,3563,067,9016
6450,2025-10-28,736,3690,454,2053
6451,2025-10-29,910,0207,919,2163
6452,2025-10-30,941,1459,670,0810
6453,2025-10-31,806,9319,284,0156
6454,2025-11-01,975,7874,003,3985
6455,2025-11-02,981,6118,480,6266
6456,2025-11-03,279,7646,822,3643
6457,2025-11-04,898,0040,975,7773
6458,2025-11-05,020,3275,993,5595
6459,2024-09-04,907,6135,616,5698
6460,2024-09-05,313,7987,260,7064
6461,2024-09-06,666,1323,512,8563
6462,2024-09-07,827,9100,073,2632
6463,2024-09-08,282,3360,515,2784
6464,2024-09-09,412,1361,746,9315
6465,2024-09-10,271,8593,642,8137
6466,2024-09-11,473,6965,633,1815
6467,2024-09-12,186,2064,696,5141
6468,2024-09-13,772,7167,448,8690
6469,2024-09-14,219,7965,441,7752
6470,2024-09-15,943,6877,159,3292
6471,2024-09-16,872,1380,997,1834
6472,2024-09-17,156,8588,834,7802
6473,2024-09-18,526,4677,442,9308
6474,2024-09-19,719,8006,654,0461
6475,2024-09-20,268,4656,154,8625
6476,2024-09-21,267,5201,602,0387
6477,2024-09-22,161,5737,615,6117
6478,2024-09-23,564,3618,736,1645
6479,2024-09-24,419,3644,396,8304
6480,2024-09-25,933,5782,542,5998
6481,2024-09-26,904,1469,983,7786
6482,2024-09-27,199,9947,279,0349
6483,2024-09-28,478,5930,648,2746
6484,2024-09-29,712,9656,950,4764
6485,2024-09-30,781,2384,716,7431
6486,2024-10-01,455,9143,559,4478
6487,2024-10-02,760,0348,854,5970
6488,2024-10-03,529,9400,514,3838
6489,2024-10-04,788,4011,656,1367
6490,2024-10-05,435,1691,046,0353
6491,2024-10-06,632,5505,894,0006
6492,2024-10-07,421,5640,109,2787
6493,2024-10-08,119,2045,997,2251
6494,2024-10-09,665,2646,165,4346
6495,2024-10-10,017,2322,064,2662
6496,2024-10-11,668,6593,212,9951
6497,2024-10-12,484,2049,800,4011
6498,2024-10-13,018,8337,449,2206
6499,2024-10-14,426,7556,450,7366
6500,2024-10-15,280,2552,571,3518
6501,2024-10-16,364,7285,515,1966
6502,2024-10-17,724,6836,107,7111
6503,2024-10-18,732,5240,035,5624
6504,2024-10-19,094,4896,033,6013
6505,2024-10-20,575,4365,430,4077
6506,2024-10-21,993,6715,648,7234
6507,2024-10-22,810,2208,284,1361
6508,2024-10-23,273,9108,765,0068
6509,2024-10-24,224,7132,970,8901
6510,2024-10-25,335,5209,158,3513
6511,2024-10-26,475,9345,870,9124
6512,2024-10-27,098,8023,499,4348
6513,2024-10-28,884,7487,888,3305
6514,2024-10-29,100,2710,057,3580
6515,2024-10-30,864,6232,033,9181
6516,2024-10-31,086,4044,217,3003
6517,2024-11-01,937,9282,924,6240
6518,2024-11-02,620,2827,910,3333
6519,2024-11-03,643,6533,606,7128
6520,2024-11-04,503,2254,480,5388
6521,2024-11-05,498,4387,897,0795
6522,2024-11-06,853,0780,353,4336
6523,2024-11-07,343,3787,304,2131
6524,2024-11-08,392,1417,279,3900
6525,2024-11-09,098,9118,390,4718
6526,2024-11-10,127,0793,835,1662
6527,2024-11-11,280,1951,006,9552
6528,2024-11-12,802,7007,997,7819
6529,2024-11-13,862,5624,095,0851
6530,2024-11-14,036,8115,211,9536
6531,2024-11-15,270,8424,983,1444
6532,2024-11-16,580,9533,214,0882
6533,2024-11-17,701,4167,903,8636
6534,2024-11-18,051,1770,406,3455
6535,2024-11-19,337,3966,939,3815
6536,2024-11-20,322,1799,603,6763
6537,2024-11-21,684,2057,945,6996
6538,2024-11-22,772,0358,501,2738
6539,2024-11-23,803,8412,591,3930
6540,2024-11-24,801,4618,591,8815
6541,2024-11-25,067,1604,559,9771
6542,2024-11-26,900,7237,616,6452
6543,2024-11-27,376,2390,128,7392
6544,2024-11-28,656,6008,517,8704
